SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatitudeRef,GPSLongitudeRef,DateTimeOriginal
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0094.HEIC,IMG_0094.HEIC,"64 deg 0' 21.53"" N","22 deg 33' 26.18"" W",North,West,2026:05:15 13:05:55
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0094.MP4,IMG_0094.MP4,"64 deg 0' 21.60"" N","22 deg 33' 26.28"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0095.HEIC,IMG_0095.HEIC,"64 deg 0' 22.33"" N","22 deg 33' 25.86"" W",North,West,2026:05:15 13:06:23
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0095.MP4,IMG_0095.MP4,"64 deg 0' 22.32"" N","22 deg 33' 25.92"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0096.HEIC,IMG_0096.HEIC,"64 deg 0' 22.71"" N","22 deg 33' 25.46"" W",North,West,2026:05:15 13:06:51
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0096.MP4,IMG_0096.MP4,"64 deg 0' 22.68"" N","22 deg 33' 25.56"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0097.HEIC,IMG_0097.HEIC,"64 deg 0' 23.15"" N","22 deg 33' 25.71"" W",North,West,2026:05:15 13:07:07
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0097.MP4,IMG_0097.MP4,"64 deg 0' 23.04"" N","22 deg 33' 25.56"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0098.HEIC,IMG_0098.HEIC,"64 deg 0' 25.30"" N","22 deg 33' 24.66"" W",North,West,2026:05:15 13:08:12
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0098.MP4,IMG_0098.MP4,"64 deg 0' 25.20"" N","22 deg 33' 24.84"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0099.HEIC,IMG_0099.HEIC,"64 deg 0' 25.30"" N","22 deg 33' 24.68"" W",North,West,2026:05:15 13:08:13
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0099.MP4,IMG_0099.MP4,"64 deg 0' 25.20"" N","22 deg 33' 24.84"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0100.HEIC,IMG_0100.HEIC,"64 deg 0' 25.87"" N","22 deg 33' 24.56"" W",North,West,2026:05:15 13:08:30
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0100.MP4,IMG_0100.MP4,"64 deg 0' 25.92"" N","22 deg 33' 24.48"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0101.HEIC,IMG_0101.HEIC,"64 deg 0' 26.53"" N","22 deg 33' 24.10"" W",North,West,2026:05:15 13:09:32
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0101.MP4,IMG_0101.MP4,"64 deg 0' 26.64"" N","22 deg 33' 24.12"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0102.HEIC,IMG_0102.HEIC,"64 deg 0' 28.54"" N","22 deg 33' 21.64"" W",North,West,2026:05:15 13:10:39
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0102.MP4,IMG_0102.MP4,"64 deg 0' 28.44"" N","22 deg 33' 21.60"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0103.HEIC,IMG_0103.HEIC,"64 deg 0' 30.65"" N","22 deg 33' 27.08"" W",North,West,2026:05:15 13:12:07
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0103.MP4,IMG_0103.MP4,"64 deg 0' 30.60"" N","22 deg 33' 27.00"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0104.HEIC,IMG_0104.HEIC,"64 deg 0' 30.65"" N","22 deg 33' 27.08"" W",North,West,2026:05:15 13:12:08
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0104.MP4,IMG_0104.MP4,"64 deg 0' 30.60"" N","22 deg 33' 27.00"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0108.HEIC,IMG_0108.HEIC,"64 deg 0' 33.01"" N","22 deg 33' 26.58"" W",North,West,2026:05:15 13:13:52
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0108.MP4,IMG_0108.MP4,"64 deg 0' 33.12"" N","22 deg 33' 26.64"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0110.HEIC,IMG_0110.HEIC,"64 deg 0' 32.55"" N","22 deg 33' 23.32"" W",North,West,2026:05:15 13:14:25
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0110.MP4,IMG_0110.MP4,"64 deg 0' 32.40"" N","22 deg 33' 23.40"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0111.HEIC,IMG_0111.HEIC,"64 deg 0' 32.52"" N","22 deg 33' 21.87"" W",North,West,2026:05:15 13:14:39
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0111.MP4,IMG_0111.MP4,"64 deg 0' 32.40"" N","22 deg 33' 21.96"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0112.HEIC,IMG_0112.HEIC,"64 deg 0' 32.57"" N","22 deg 33' 20.20"" W",North,West,2026:05:15 13:14:55
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0112.MP4,IMG_0112.MP4,"64 deg 0' 32.76"" N","22 deg 33' 20.16"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0113.HEIC,IMG_0113.HEIC,"64 deg 0' 32.55"" N","22 deg 33' 19.83"" W",North,West,2026:05:15 13:15:00
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0113.MP4,IMG_0113.MP4,"64 deg 0' 32.40"" N","22 deg 33' 19.80"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0114.HEIC,IMG_0114.HEIC,"64 deg 0' 32.68"" N","22 deg 33' 18.34"" W",North,West,2026:05:15 13:15:20
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0114.MP4,IMG_0114.MP4,"64 deg 0' 32.76"" N","22 deg 33' 18.36"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0115.HEIC,IMG_0115.HEIC,"64 deg 0' 32.68"" N","22 deg 33' 18.28"" W",North,West,2026:05:15 13:15:21
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0115.MP4,IMG_0115.MP4,"64 deg 0' 32.76"" N","22 deg 33' 18.36"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0119.HEIC,IMG_0119.HEIC,"64 deg 0' 32.22"" N","22 deg 33' 15.86"" W",North,West,2026:05:15 13:16:50
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0119.MP4,IMG_0119.MP4,"64 deg 0' 32.04"" N","22 deg 33' 15.84"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0120.HEIC,IMG_0120.HEIC,"64 deg 0' 32.24"" N","22 deg 33' 16.21"" W",North,West,2026:05:15 13:17:03
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0120.MP4,IMG_0120.MP4,"64 deg 0' 32.40"" N","22 deg 33' 16.20"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0121.HEIC,IMG_0121.HEIC,"64 deg 0' 19.06"" N","22 deg 33' 24.00"" W",North,West,2026:05:15 13:26:02
